Symbol,CDR
ABBV,ABBV.NE
ADBE,ADBE.NE
AMD,AMD.NE
GOOG,GOOG.NE
AMZN,AMZN.NE
AAPL,AAPL.NE
BAC,BOFA.NE
BRK-B,BRK.NE
BLK,BLK.NE
BA,BA.NE
AVGO,AVGO.NE
CAT,CATR.NE
CVX,CHEV.NE
CSCO,CSCO.NE
C,CITI.NE
KO,COLA.NE
STZ,STZ.NE
COST,COST.NE
CVS,CVS.NE
DE,DEER.NE
LLY,LLY.NE
XOM,XOM.NE
GS,GS.NE
HD,HD.NE
HON,HON.NE
IBM,IBM.NE
INTC,INTC.NE
JNJ,JNJ.NE
JPM,JPM.NE
LULU,LULU.NE
MA,MA.NE
MCD,MCDS.NE
META,META.NE
MSFT,MSFT.NE
NFLX,NFLX.NE
NKE,NKE.NE
NVDA,NVDA.NE
PANW,PANW.NE
PYPL,PYPL.NE
PFE,PFE.NE
PG,PG.NE
RTX,RTX.NE
CRM,CRM.NE
NOW,NOWS.NE
SBUX,SBUX.NE
SMCI,SMCI.NE
TSLA,TSLA.NE
TMO,TMO.NE
UBER,UBER.NE
UNH,UNH.NE
UPS,UPS.NE
VZ,VZ.NE
V,VISA.NE
WMT,WMT.NE
DIS,DIS.NE
