VRE,ZRE,XRE,MREL
FSV,NWH-UN.TO,CAR-UN.TO,DIR-UN.TO
CAR-UN.TO,AX-UN.TO,REI-UN.TO,REI-UN.TO
REI-UN.TO,HOM-UN.TO,GRT-UN.TO,BEI-UN.TO
CIGI,CSH-UN.TO,CHP-UN.TO,GRT-UN.TO
GRT-UN.TO,SGR-UN.TO,DIR-UN.TO,CAR-UN.TO
CHP-UN.TO,PMZ-UN.TO,FCR-UN.TO,SRU-UN.TO
DIR-UN.TO,HR-UN.TO,SRU-UN.TO,KMP-UN.TO
FCR-UN.TO,DIR-UN.TO,BEI-UN.TO,IIP-UN.TO
CSH-UN.TO,SRU-UN.TO,HR-UN.TO,MI-UN.TO
SRU-UN.TO,CHP-UN.TO,KMP-UN.TO,WELL
BEI-UN.TO,CRT-UN.TO,AP-UN.TO,FCR-UN.TO
HR-UN.TO,FCR-UN.TO,IIP-UN.TO,PLD
AP-UN.TO,REI-UN.TO,CRR-UN.TO,CHP-UN.TO
PMZ-UN.TO,BEI-UN.TO,PMZ-UN.TO,CIGI
NWH-UN.TO,GRT-UN.TO,NWH-UN.TO,HR-UN.TO
,AP-UN.TO,CRT-UN.TO,FSV
,CAR-UN.TO,,CSH-UN.TO
,CRR-UN.TO,,SBAC
,KMP-UN.TO,,BN
,MI-UN.TO,,EQIX
,IIP-UN.TO,,BX
,,,VNA.DE
,,,ESS
,,,SIA.TO
,,,EXE.TO
,,,NXR-UN.TO
,,,CRT-UN.TO
,,,MHC-UN.TO
,,,AMH
,,,TCN
,,,DRR-UN.TO
,,,STAG
,,,SEGXF
,,,SUI
,,,CRR-UN.TO
